Treatment,Temperature,CO2,Tray,Number,Full_ID,Genotype,Population,Elevation,Cohort,Licor_E,Licor_A,Licor_Ca,Licor_Ci,Licor_gsw,Licor_LeafArea,Licor_dryLeafMass
T1,High,High,1,62,T1_1_62,269_15,269,2800,1,0.002008716,9.67569928,647.6364516,494.2213648,0.114145785,0.86136373,0.0092
T1,High,High,1,69,T1_1_69,250_28,250,3133,1,0.002816842,11.12131826,646.6377742,507.3637668,0.148605085,1.041650829,0.0094
T1,High,High,1,70,T1_1_70,212_7,212,3131,1,0.000508865,2.985156622,649.4980333,466.0256513,0.028588598,0.590825554,0.0047
T1,High,High,1,80,T1_1_80,304_19A,304,3673,1,0.001702598,1.230429578,649.9265161,609.7924657,0.092647755,0.16530499,4e-04
T1,High,High,1,86,T1_1_86,328_2,328,3660,1,0.000985122,8.668694294,646.3839333,379.7211158,0.055368184,1.571257623,0.0134
T1,High,High,1,90,T1_1_90,250_16,250,3133,2,0.000132235,1.632357645,649.7768,288.8344407,0.007516696,0.526596035,0.0038
T1,High,High,1,94,T1_1_94,210_3,210,3161.3,2,0.001026128,11.75645874,647.0831613,308.517366,0.058210452,0.944589703,0.0066
T1,High,High,2,101,T1_2_101,154_5,154,2992,2,0.00086336,7.974551975,648.9755806,371.3750794,0.048735618,0.484373729,0.0035
T1,High,High,2,105,T1_2_105,199_1,199,3502,1,0.000518902,4.722675861,649.012,381.8785135,0.029977653,0.798281166,0.0063
T1,High,High,2,108,T1_2_108,102_5,102,3072,1,0.001410825,6.127467796,648.5107097,508.275648,0.079846919,0.846524991,0.007
T1,High,High,2,114,T1_2_114,273_18C,273,2710,2,0.000864716,4.192134691,648.9761667,492.7721107,0.048228791,0.847098468,0.0083
T1,High,High,2,123,T1_2_123,185_2,185,3411,2,0.000497613,6.735598805,648.5108065,234.8956945,0.026977803,0.846381621,0.0076
T1,High,High,2,125,T1_2_125,194_2,194,3108,1,0.000540613,6.197066721,648.1917419,297.7106373,0.029545558,1.122224467,0.0127
T1,High,High,2,152,T1_2_152,212_7,212,3131,1,0.000348157,5.164761679,649.2423,193.8875918,0.018698027,0.56802981,0.0048
